target_speed,steer_gain,centering_gain,brake_threshold,gentle_speed,sharp_speed,straight_speed,lap_time
120.0,73.0,0.906,0.394,156.194,65.0,227.73,121.428
120.0,73.0,0.906,0.394,117.559,65.0,227.73,10000000
120.0,73.0,0.906,0.511,156.194,65.0,227.73,121.428
120.0,73.0,0.906,0.732,156.194,65.0,227.73,121.428
120.0,73.0,0.906,0.732,156.194,65.0,162.516,126.136
163.559,73.0,0.906,0.732,156.194,65.0,227.73,10000000
120.0,73.0,0.906,0.732,156.194,30.221,227.73,137.006
120.0,73.0,0.906,0.49,156.194,65.0,227.73,121.428
120.0,73.0,0.906,1.315,156.194,65.0,227.73,121.428
120.0,73.0,0.906,1.315,156.194,36.108,227.73,10000000
120.0,73.0,0.906,0.286,156.194,65.0,227.73,123.496
120.0,73.0,1.63,1.315,156.194,65.0,227.73,10000000
120.0,73.0,0.906,1.315,156.194,25.923,227.73,10000000
120.0,73.0,0.906,1.315,158.322,65.0,227.73,121.428
120.0,73.0,0.906,1.315,158.322,33.167,227.73,135.686
120.0,73.0,0.906,0.208,158.322,65.0,227.73,126.334
120.0,70.917,0.906,1.315,158.322,65.0,227.73,10000000
120.0,73.0,0.906,0.953,158.322,65.0,227.73,121.428
120.0,73.0,0.906,0.953,108.468,65.0,227.73,124.64
120.0,73.0,0.906,0.953,156.01,65.0,227.73,121.45
120.0,73.0,0.906,0.953,158.322,46.233,227.73,137.706
120.999,73.0,0.906,0.953,158.322,65.0,227.73,10000000
120.0,73.0,0.906,0.205,158.322,65.0,227.73,123.804
120.0,73.0,0.906,1.349,158.322,65.0,227.73,121.428
120.0,73.0,0.906,0.595,158.322,65.0,227.73,121.428
120.0,19.286,0.906,0.595,158.322,65.0,227.73,10000000
120.0,73.0,0.46,0.595,158.322,65.0,227.73,132.506
120.0,73.0,0.444,0.595,158.322,65.0,227.73,132.266
120.0,73.0,0.906,0.595,158.322,65.0,215.216,121.428
278.22,73.0,0.906,0.595,158.322,65.0,278.22,10000000
120.0,73.0,0.906,0.301,158.322,65.0,215.216,122.99
120.0,73.0,0.906,0.595,158.322,57.609,215.216,133.226
120.0,73.0,0.906,0.574,158.322,65.0,215.216,121.428
120.0,31.449,0.906,0.574,158.322,65.0,215.216,10000000
120.0,73.0,0.906,0.574,101.298,65.0,215.216,124.53
120.0,73.0,0.906,0.858,158.322,65.0,215.216,128.806
129.486,73.0,0.906,0.574,158.322,65.0,215.216,10000000
120.0,73.0,0.906,0.574,158.322,20.453,215.216,10000000
199.774,73.0,0.906,0.574,158.322,65.0,215.216,10000000
120.0,73.0,0.906,0.574,158.322,29.164,215.216,10000000
88.338,73.0,0.906,0.574,158.322,65.0,215.216,10000000
120.0,73.0,0.984,0.574,158.322,65.0,215.216,122.0
120.0,73.0,0.906,0.574,158.322,17.975,215.216,10000000
120.0,73.0,0.906,1.151,158.322,65.0,215.216,128.806
120.0,74.148,0.906,0.574,158.322,65.0,215.216,128.086
120.0,73.0,0.906,1.315,158.322,65.0,215.216,10000000
120.0,73.0,0.906,0.574,158.322,24.528,215.216,133.626
120.0,73.0,0.906,1.128,158.322,65.0,215.216,10000000
120.0,73.0,0.906,0.574,158.322,65.0,120.0,134.426
120.0,73.0,0.388,0.574,158.322,65.0,215.216,125.938
120.0,73.0,0.906,0.574,158.322,69.769,215.216,10000000
120.0,73.0,1.171,0.574,158.322,65.0,215.216,10000000
120.0,68.3,0.906,0.574,158.322,65.0,215.216,10000000
120.0,73.0,1.708,0.574,158.322,65.0,215.216,10000000
176.968,73.0,0.906,0.574,158.322,65.0,215.216,10000000
120.0,73.0,0.906,0.574,158.322,38.728,215.216,137.726
120.0,73.0,0.906,0.574,158.322,65.0,252.814,10000000
120.0,73.0,0.238,0.574,158.322,65.0,215.216,131.486
120.0,73.0,0.906,1.301,158.322,65.0,215.216,10000000
120.0,73.0,0.906,0.387,158.322,65.0,215.216,10000000
120.0,73.0,0.906,0.574,97.849,65.0,215.216,10000000
120.0,73.0,0.906,0.574,158.322,39.419,215.216,132.846
120.0,73.0,0.906,0.574,158.322,65.0,151.854,127.852
120.0,73.0,0.906,1.075,158.322,65.0,215.216,10000000
187.979,73.0,0.906,0.574,158.322,65.0,215.216,10000000
120.0,73.0,0.906,1.063,158.322,65.0,215.216,10000000
120.0,73.0,0.906,0.574,158.322,70.547,215.216,10000000
120.0,60.582,0.906,0.574,158.322,65.0,215.216,10000000
120.0,90.524,0.906,0.574,158.322,65.0,215.216,139.986
291.775,73.0,0.906,0.574,158.322,65.0,291.775,10000000
120.0,73.0,0.906,1.295,158.322,65.0,215.216,10000000
120.0,73.0,0.906,1.063,158.322,65.0,215.216,121.428
120.0,57.857,0.906,1.063,158.322,65.0,215.216,10000000
120.0,73.0,0.906,1.063,158.322,19.92,215.216,10000000
120.0,73.0,0.906,1.063,158.322,65.0,125.696,132.126
120.0,73.0,0.906,1.063,158.322,65.0,295.46,121.428
120.0,55.359,0.906,1.063,158.322,65.0,295.46,10000000
77.362,73.0,0.906,1.063,158.322,65.0,295.46,10000000
120.0,73.0,0.906,1.063,158.322,65.0,240.879,121.428
120.0,73.0,0.906,0.01,158.322,65.0,240.879,10000000
120.0,73.0,0.906,1.063,158.322,65.0,125.838,132.566
120.0,73.0,0.027,1.063,158.322,65.0,240.879,10000000
120.0,50.094,0.906,1.063,158.322,65.0,240.879,10000000
120.0,73.0,0.906,0.205,158.322,65.0,240.879,123.804
120.0,73.0,0.906,0.767,158.322,65.0,240.879,121.428
120.0,45.148,0.906,0.767,158.322,65.0,240.879,10000000
120.0,15.617,0.906,0.767,158.322,65.0,240.879,10000000
